CHAVE_OBJETO,Cor Predominante,Descrição,Peso Total,Peso Unitário,Tipo de Embalagem,RECLASSIFICAÇÃO
20205371,Amarelo,dezesseis pontos de extase,0.0,0.0,Ponto(s),Drogas
20428729,Branco,4 pontos de lsd com desenho de um boneco e uma corruja ,0.0,0.0,Ponto(s),Drogas
20464927,Amarelo,um pedaco de papel colorido dividido em 4 partes com caracteristicas de lsd,0.0,0.0,Ponto(s),Drogas
20827053,Cinza,01 microponto de droga semelhante a lsd,0.0,0.0,Ponto(s),Drogas
21587452,Azul,18 pontos de substancia semelhante a lsd,0.0,0.0,Ponto(s),Drogas
21724873,Azul,100 pontos de lsd total:100 pts,0.0,0.0,Ponto(s),Drogas
21819227,Marrom,um saco contendo 9 pontos semelhantes aos de lsd,0.0,0.0,Ponto(s),Drogas
22584173,Laranja,03 sacos contendo 32 unidades de uma substancia com caracteristica de lcd - 03 de  coloracao preta e as demais alaranjadas,0.0,0.0,Ponto(s),Drogas
23331941,Verde,sete micropontos semelhantes a lsd,0.0,0.0,Ponto(s),Drogas
23394208,Azul,10 pontos de lsd,0.0,0.0,Ponto(s),Drogas
23457641,Branco,pontos de papel - lsd,0.0,0.0,Ponto(s),Drogas
23664426,Branco,915 pontos de substancia com caracteristicas de lsd,0.0,0.0,Ponto(s),Drogas
23667273,Incolor,5 pontos,0.0,0.0,Ponto(s),Drogas
23771110,Cinza,02 pontos de lsd,0.0,0.0,Ponto(s),Drogas
23789695,Preto,25 pontos de lsd,0.0,0.0,Ponto(s),Drogas
20481397,Verde,01 pequeno saco plastico contendo po verde,0.0,0.0,Saco(s),Drogas
21361966,Rosa,um comprimido de ecstase,0.0,0.0,Saco(s),Drogas
21701098,Incolor,quatro sacos plasticos contendo erva seca e esverdeada,0.0,0.0,Saco(s),Drogas
21809212,Branco,plastico/papel laminado/resquicios de po usados no teste,0.0,0.0,Saco(s),Drogas
22353326,Branco,pequena porcao (saco plastico) de droga em po branco nao suscetivel a pesagem devido ao baixo peso material,0.0,0.0,Saco(s),Drogas
20834318,Verde,auto de apreensao de substancia entorpecente,0.0,0.0,Tijolo(s),Drogas
21284316,Verde,seis tijolos e uma porcao pensando 3811 kg,0.0,0.0,Tijolo(s),Drogas
22128674,Branco,tres porcoes da droga conhecida por mdma,0.0,0.0,Tijolo(s),Drogas
23325659,Verde,-,0.0,0.0,Tijolo(s),Drogas
23529133,Verde,nao foi pesado por falta de equipamemnto adequado,0.0,0.0,Tijolo(s),Drogas
20355574,Branco,um pino com im pouco de substancia branca,0.0,0.0,Unidade(s),Drogas
20687406,Verde,uma planta com cerca de 120cm de comprimento,0.0,0.0,Unidade(s),Drogas
21260594,Cinza,"cento e oitenta e oito 'balas' de cor cinza com a inscricao ""ying""",0.0,0.0,Unidade(s),Drogas
21260598,Preto,"cento e setenta e sete 'balas' com a inscricao ""yang""",0.0,0.0,Unidade(s),Drogas
21260607,Branco,"duzentas e nove 'balas' de cor branco com laranja com a inscricao ""sprite""",0.0,0.0,Unidade(s),Drogas
21260615,Laranja,"trezentas e setenta ""balas"" de cor laranja com a inscricao ""buda""",0.0,0.0,Unidade(s),Drogas
21260620,Azul,"cinquenta e duas ""balas"" coloridas diversas",0.0,0.0,Unidade(s),Drogas
21260621,Vermelho,"duzentas e catorze ""balas"" vermelhas  ""deflon""",0.0,0.0,Unidade(s),Drogas
21478511,Branco,35 comprimidos de substancia semelhante a ecstasy,0.0,0.0,Unidade(s),Drogas
21479486,Vermelho,6 (seis) comprimidos de substancia semelhante a ecstasy em cores diversas,0.0,0.0,Unidade(s),Drogas
21511648,Marrom,17 balas sinteticas com caratecteristicas de extasy,0.0,0.0,Unidade(s),Drogas
21556117,Bege,nao foi possivel pesar (menos de 1 grama),0.0,0.0,Unidade(s),Drogas
21582870,Azul,apreendido no porta-luvas do veiculo 1 comprimido semelhante a ecstasy cor azul claro,0.0,0.0,Unidade(s),Drogas
21588069,Verde,01 (um) comprimido de ecstasy wi fi cor verde e branca,0.0,0.0,Unidade(s),Drogas
21853639,Preto,uma porcao com haxixe,0.0,0.0,Unidade(s),Drogas
22076149,Preto,um selo em forma quadrada lsd,0.0,0.0,Unidade(s),Drogas
22199859,Branco,1 peteca,0.0,0.0,Unidade(s),Drogas
22318766,Amarelo,apreendida uma pedra de crakc,0.0,0.0,Unidade(s),Drogas
22428810,Amarelo,uma pedrinha com caracteristicas de craque a qual nao somou peso na balanca ,0.0,0.0,Unidade(s),Drogas
22746775,Amarelo,pequenas pedras ,0.0,0.0,Unidade(s),Drogas
22801367,Branco,01 lsd,0.0,0.0,Unidade(s),Drogas
22911243,Branco,semelhante a droga sintetica,0.0,0.0,Unidade(s),Drogas
23331946,Branco,vinte e tres capsulas branco e vermelho com po branco em seu interior caracteristico a mdma,0.0,0.0,Unidade(s),Drogas
23370315,Azul,3 selos de lsd,0.0,0.0,Unidade(s),Drogas
23370316,Rosa,18 comprimidos de ecstasy,0.0,0.0,Unidade(s),Drogas
23464494,Bege,uma porcao de droga em po a ser definida qual,0.0,0.0,Unidade(s),Drogas
23477229,Preto,compremido semelhante a ecstasy,0.0,0.0,Unidade(s),Drogas
23479476,Verde,uma planta pequena de 8 cm aproximadamente plantada em pote plastico com  terra ,0.0,0.0,Unidade(s),Drogas
23589501,Lilás,150 unidade de comprimido de cor lilas com caracteristica de ecstasy,0.0,0.0,Unidade(s),Drogas
23849338,Rosa,448 balas de substancia caracteristica de ecstasy,0.0,0.0,Unidade(s),Drogas
23849343,Branco,23 unidades com caracteristicas de ecstasy,0.0,0.0,Unidade(s),Drogas
23952017,Cobreado,uma unidade de ecstasy,0.0,0.0,Unidade(s),Drogas
20519661,Verde,cigarro artesanal fechado,0.0,0.0,Cigarro(s),Drogas
20594901,Verde,bituca,0.0,0.0,Cigarro(s),Drogas
